gene_id	gene	log2FoldChange	padj	stat	group
ENSG00000157782	CABP1	2.881	0	up	UB_T10_T12_vs_T3_T5
ENSG00000198133	TMEM229B	2.4388	0	up	UB_T10_T12_vs_T3_T5
ENSG00000179388	EGR3	-2.7935	0	down	UB_T10_T12_vs_T3_T5
ENSG00000185565	LSAMP	-2.0017	1e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000145794	MEGF10	-2.2095	0	down	UB_T10_T12_vs_T3_T5
ENSG00000181656	GPR88	-3.9854	0.0125	down	UB_T10_T12_vs_T3_T5
ENSG00000171224	FAM241B	-3.1821	0.0052	down	UB_T10_T12_vs_T3_T5
ENSG00000170373	CST1	2.5363	0.0041	up	UB_T10_T12_vs_T3_T5
ENSG00000214212	C19orf38	2.6726	0.0159	up	UB_T10_T12_vs_T3_T5
ENSG00000250326	AC104596.1	-2.4141	0.0384	down	UB_T10_T12_vs_T3_T5
ENSG00000134247	PTGFRN	-2.6957	0	down	UB_T10_T12_vs_T3_T5
ENSG00000169245	CXCL10	3.3476	0.0041	up	UB_T10_T12_vs_T3_T5
ENSG00000256304	CCDC150P1	-2.5992	0.0107	down	UB_T10_T12_vs_T3_T5
ENSG00000116032	GRIN3B	2.1721	0	up	UB_T10_T12_vs_T3_T5
ENSG00000186417	GLDN	2.8153	0.0031	up	UB_T10_T12_vs_T3_T5
ENSG00000133110	POSTN	-3.5328	0.0042	down	UB_T10_T12_vs_T3_T5
ENSG00000283633	AP000547.3	4.4671	0.0133	up	UB_T10_T12_vs_T3_T5
ENSG00000139629	GALNT6	2.1952	0	up	UB_T10_T12_vs_T3_T5
ENSG00000089127	OAS1	3.3618	0.0081	up	UB_T10_T12_vs_T3_T5
ENSG00000169933	FRMPD4	-2.1041	0.0024	down	UB_T10_T12_vs_T3_T5
ENSG00000124107	SLPI	5.676	0	up	UB_T10_T12_vs_T3_T5
ENSG00000166206	GABRB3	-2.1175	0.0259	down	UB_T10_T12_vs_T3_T5
ENSG00000083067	TRPM3	2.3285	6e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000139910	NOVA1	2.6289	0.0421	up	UB_T10_T12_vs_T3_T5
ENSG00000228477	AL663070.1	-2.0247	0.0285	down	UB_T10_T12_vs_T3_T5
ENSG00000281344	HELLPAR	-3.3066	1e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000137273	FOXF2	2.1017	0.0341	up	UB_T10_T12_vs_T3_T5
ENSG00000204361	NXPE2	-2.472	0.0105	down	UB_T10_T12_vs_T3_T5
ENSG00000124466	LYPD3	2.7297	0	up	UB_T10_T12_vs_T3_T5
ENSG00000182985	CADM1	-2.6236	6e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000223812	AC073365.1	23.4942	0	up	UB_T10_T12_vs_T3_T5
ENSG00000111846	GCNT2	3.1694	0	up	UB_T10_T12_vs_T3_T5
ENSG00000231154	MORF4L2-AS1	-2.8481	0.0438	down	UB_T10_T12_vs_T3_T5
ENSG00000231054	AC093833.1	2.9489	0.037	up	UB_T10_T12_vs_T3_T5
ENSG00000109265	KIAA1211	-2.1699	0.0205	down	UB_T10_T12_vs_T3_T5
ENSG00000153253	SCN3A	2.895	0.0093	up	UB_T10_T12_vs_T3_T5
ENSG00000214796	AC098934.1	-2.1413	6e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000169507	SLC38A11	2.7472	8e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000257596	AC078778.1	-2.6968	0.0146	down	UB_T10_T12_vs_T3_T5
ENSG00000172379	ARNT2	-2.4055	0	down	UB_T10_T12_vs_T3_T5
ENSG00000271503	CCL5	3.5382	2e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000136514	RTP4	4.8437	0.0017	up	UB_T10_T12_vs_T3_T5
ENSG00000163053	SLC16A14	2.3986	0.0085	up	UB_T10_T12_vs_T3_T5
ENSG00000196407	THEM5	2.1947	0.0039	up	UB_T10_T12_vs_T3_T5
ENSG00000126709	IFI6	2.0665	0.0077	up	UB_T10_T12_vs_T3_T5
ENSG00000267216	AC020915.1	-2.343	2e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000167653	PSCA	2.2915	0	up	UB_T10_T12_vs_T3_T5
ENSG00000107518	ATRNL1	-2.4683	7e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000132334	PTPRE	-2.8384	0.0142	down	UB_T10_T12_vs_T3_T5
ENSG00000242419	PCDHGC4	-2.8196	0.0061	down	UB_T10_T12_vs_T3_T5
ENSG00000181227	DLSTP1	-2.7909	0.0195	down	UB_T10_T12_vs_T3_T5
ENSG00000198732	SMOC1	3.9495	0.0023	up	UB_T10_T12_vs_T3_T5
