gene_id	gene	log2FoldChange	padj	stat	group
ENSG00000151364	KCTD14	-2.5859	4e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000167676	PLIN4	-2.4086	0.0262	down	AD_T10_T12_vs_T3_T5
ENSG00000079931	MOXD1	2.1866	0	up	AD_T10_T12_vs_T3_T5
ENSG00000270490	AC110048.1	4.1518	0.0062	up	AD_T10_T12_vs_T3_T5
ENSG00000282034	AC106886.5	2.113	0.0096	up	AD_T10_T12_vs_T3_T5
ENSG00000128918	ALDH1A2	-2.1841	0.0014	down	AD_T10_T12_vs_T3_T5
ENSG00000271784	AL031055.1	3.2283	0.0362	up	AD_T10_T12_vs_T3_T5
ENSG00000134690	CDCA8	-2.1231	0	down	AD_T10_T12_vs_T3_T5
ENSG00000174325	DIRC1	3.7562	0	up	AD_T10_T12_vs_T3_T5
ENSG00000121152	NCAPH	-2.156	0	down	AD_T10_T12_vs_T3_T5
ENSG00000181126	HLA-V	3.535	0.0087	up	AD_T10_T12_vs_T3_T5
ENSG00000236045	AL031283.3	2.4428	4e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000251235	SNRPCP2	-2.4424	0.0347	down	AD_T10_T12_vs_T3_T5
ENSG00000157766	ACAN	4.3329	0.0277	up	AD_T10_T12_vs_T3_T5
ENSG00000269837	IPO5P1	-3.9983	0.0043	down	AD_T10_T12_vs_T3_T5
ENSG00000180730	SHISA2	3.4649	0.0065	up	AD_T10_T12_vs_T3_T5
ENSG00000171346	KRT15	2.0066	0	up	AD_T10_T12_vs_T3_T5
ENSG00000251281	AC034223.2	3.3972	0	up	AD_T10_T12_vs_T3_T5
ENSG00000140022	STON2	2.3241	0	up	AD_T10_T12_vs_T3_T5
ENSG00000106484	MEST	3.6121	0	up	AD_T10_T12_vs_T3_T5
ENSG00000115457	IGFBP2	3.4448	0.0114	up	AD_T10_T12_vs_T3_T5
ENSG00000256128	LINC00944	2.4358	0	up	AD_T10_T12_vs_T3_T5
ENSG00000165879	FRAT1	-2.6796	0	down	AD_T10_T12_vs_T3_T5
ENSG00000204287	HLA-DRA	2.8311	8e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000231776	LINC01611	2.5167	0.0471	up	AD_T10_T12_vs_T3_T5
ENSG00000163357	DCST1	-3.4116	0.022	down	AD_T10_T12_vs_T3_T5
ENSG00000217801	AL390719.1	3.4526	0.0064	up	AD_T10_T12_vs_T3_T5
ENSG00000204851	PNMA8B	-2.8613	0.002	down	AD_T10_T12_vs_T3_T5
ENSG00000124731	TREM1	4.9976	0	up	AD_T10_T12_vs_T3_T5
ENSG00000173626	TRAPPC3L	4.2557	0.0114	up	AD_T10_T12_vs_T3_T5
ENSG00000187642	PERM1	2.2163	0	up	AD_T10_T12_vs_T3_T5
ENSG00000184156	KCNQ3	2.2556	0	up	AD_T10_T12_vs_T3_T5
ENSG00000170214	ADRA1B	-2.4652	4e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000106278	PTPRZ1	2.7133	0.0032	up	AD_T10_T12_vs_T3_T5
ENSG00000186310	NAP1L3	-2.9838	0.0199	down	AD_T10_T12_vs_T3_T5
ENSG00000135951	TSGA10	2.0582	0	up	AD_T10_T12_vs_T3_T5
ENSG00000136274	NACAD	-2.3115	1e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000171791	BCL2	-2.3221	0	down	AD_T10_T12_vs_T3_T5
ENSG00000169851	PCDH7	2.1459	1e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000205670	SMIM11A	2.3044	0.0473	up	AD_T10_T12_vs_T3_T5
ENSG00000183850	ZNF730	-4.008	0.0014	down	AD_T10_T12_vs_T3_T5
ENSG00000205129	C4orf47	2.1362	0.0019	up	AD_T10_T12_vs_T3_T5
ENSG00000170962	PDGFD	-2.4913	0	down	AD_T10_T12_vs_T3_T5
ENSG00000154310	TNIK	2.0654	0	up	AD_T10_T12_vs_T3_T5
ENSG00000139200	PIANP	-2.5618	0.0241	down	AD_T10_T12_vs_T3_T5
ENSG00000134548	SPX	3.2523	0	up	AD_T10_T12_vs_T3_T5
ENSG00000211895	IGHA1	7.2491	0	up	AD_T10_T12_vs_T3_T5
ENSG00000205830	AC024132.1	2.1035	0.0279	up	AD_T10_T12_vs_T3_T5
ENSG00000128510	CPA4	4.8771	0	up	AD_T10_T12_vs_T3_T5
ENSG00000100473	COCH	-3.6214	0	down	AD_T10_T12_vs_T3_T5
ENSG00000089685	BIRC5	-2.1833	0	down	AD_T10_T12_vs_T3_T5
ENSG00000242808	SOX2-OT	5.2363	0	up	AD_T10_T12_vs_T3_T5
ENSG00000117676	RPS6KA1	-2.0436	0	down	AD_T10_T12_vs_T3_T5
ENSG00000143845	ETNK2	-2.3974	0.0255	down	AD_T10_T12_vs_T3_T5
ENSG00000254560	BBOX1-AS1	3.5477	0.0111	up	AD_T10_T12_vs_T3_T5
ENSG00000130203	APOE	-2.4078	0.027	down	AD_T10_T12_vs_T3_T5
ENSG00000082293	COL19A1	4.4576	0	up	AD_T10_T12_vs_T3_T5
ENSG00000129910	CDH15	2.285	0.0012	up	AD_T10_T12_vs_T3_T5
ENSG00000189238	LINC00943	3.409	0.0045	up	AD_T10_T12_vs_T3_T5
ENSG00000196616	ADH1B	-5.3135	0	down	AD_T10_T12_vs_T3_T5
ENSG00000186185	KIF18B	-2.3444	0	down	AD_T10_T12_vs_T3_T5
ENSG00000166396	SERPINB7	2.4686	0	up	AD_T10_T12_vs_T3_T5
ENSG00000007237	GAS7	-2.7663	6e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000198829	SUCNR1	2.3955	0.0333	up	AD_T10_T12_vs_T3_T5
ENSG00000118849	RARRES1	2.1323	0.0254	up	AD_T10_T12_vs_T3_T5
ENSG00000139266	MARCH9	-2.076	6e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000064655	EYA2	-2.5719	0	down	AD_T10_T12_vs_T3_T5
ENSG00000164684	ZNF704	-4.5465	0.0019	down	AD_T10_T12_vs_T3_T5
ENSG00000113368	LMNB1	-2.2421	0	down	AD_T10_T12_vs_T3_T5
ENSG00000196126	HLA-DRB1	4.1447	2e-4	up	AD_T10_T12_vs_T3_T5
ENSG00000164104	HMGB2	-2.2763	0	down	AD_T10_T12_vs_T3_T5
ENSG00000064787	BCAS1	3.8248	0.0061	up	AD_T10_T12_vs_T3_T5
ENSG00000107562	CXCL12	-2.8974	2e-4	down	AD_T10_T12_vs_T3_T5
ENSG00000280020	AC116407.3	-2.2957	0.0052	down	AD_T10_T12_vs_T3_T5
ENSG00000144152	FBLN7	-2.5714	0	down	AD_T10_T12_vs_T3_T5
ENSG00000231274	SBK3	-4.2404	0.0175	down	AD_T10_T12_vs_T3_T5
ENSG00000169252	ADRB2	2.7425	0	up	AD_T10_T12_vs_T3_T5
ENSG00000181634	TNFSF15	4.6538	0	up	AD_T10_T12_vs_T3_T5
